Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
Punta Mangle (lat -0.46  lon -91.39),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.386,-0.469385,4.87314,0.955907,5.14898,6.77755,-91.386,-0.469384
-1,-91.3989,-0.511288,11.2107,7.13681,80.6665,15.3715,-91.426,-0.545562
-2,-91.4035,-0.568135,17.0589,15.3035,104.693,24.4063,-91.4387,-0.646144
-3,-91.3827,-0.616464,22.1175,21.6739,78.0899,32.9772,-91.3966,-0.72288
-4,-91.3479,-0.645867,27.5606,26.227,79.8046,41.1444,-91.3202,-0.769502
-5,-91.3,-0.655884,33.6748,30.8284,87.5267,48.6229,-91.2417,-0.781918
-6,-91.2451,-0.660193,39.4046,35.3872,88.3844,55.8744,-91.1603,-0.784309
-7,-91.1937,-0.664043,43.8601,40.1904,84.0946,62.3372,-91.0707,-0.794023
-8,-91.1542,-0.670857,47.3665,45.4365,95.2501,67.5835,-90.9806,-0.800601
-9,-91.1263,-0.6856,50.8663,50.501,89.2416,72.6942,-90.9405,-0.797525
-10,-91.1016,-0.705105,53.7882,54.6731,99.5383,77.7153,-90.8881,-0.850722
-11,-91.0759,-0.710966,98.6325,58.6803,99.5394,131.709,-90.8434,-0.854501
Cabo Douglas (lat -0.30  lon -91.65),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.6573,-0.297393,16.0115,0.981222,6.00726,16.3695,-91.6563,-0.298105
-1,-91.6204,-0.436667,27.6716,5.46597,25.745,28.3909,-91.6053,-0.38294
-2,-91.5848,-0.535376,45.7072,12.2068,49.7726,46.6971,-91.5831,-0.490561
-3,-91.5542,-0.694777,69.8587,19.2015,91.8187,73.1554,-91.5537,-0.610163
-4,-91.4393,-0.879277,95.0675,25.2508,127.853,103.136,-91.4563,-0.744885
-5,-91.2323,-0.972079,119.975,29.7908,96.9604,129.359,-91.3559,-0.77295
-6,-91.0082,-0.977854,141.724,29.8573,91.8121,151.97,-91.2601,-0.781473
-7,-90.8124,-0.976282,164.146,29.1184,112.405,175.248,-91.1686,-0.793736
-8,-90.6136,-1.01083,184.233,31.6,120.984,196.481,-91.0455,-0.830422
-9,-90.4386,-1.0564,199.203,34.6144,121.839,212.454,-90.8944,-0.865284
-10,-90.3101,-1.09693,209.533,38.7676,116.688,223.034,-90.7021,-0.93945
