Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-3,-89.4634,-1.41402,42.9642,19.1532,93.5139,43.8063,-89.3943,-1.42708
-4,-89.3457,-1.45521,57.9659,24.8315,122.682,59.5513,-89.2651,-1.46496
-5,-89.2127,-1.47849,73.4224,30.0857,138.123,75.9432,-89.1268,-1.47959
-6,-89.0736,-1.47903,90.4738,34.3982,145.977,93.9601,-88.97,-1.51217
-7,-88.9209,-1.46312,108.537,35.8137,150.609,112.448,-88.8092,-1.53675
-8,-88.7606,-1.43557,125.584,34.9178,143.815,129.707,-88.6555,-1.53918
-9,-88.6078,-1.42195,141.307,32.8765,138.91,145.612,-88.5298,-1.53073
-10,-88.4665,-1.43115,155.833,30.5253,176.72,160.341,-88.3978,-1.54143
-11,-88.3371,-1.44953,308.791,28.8637,186.526,314.488,-88.2804,-1.55487
Bahía Gardner (lat -1.37  lon -89.64),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.6354,-1.35461,7.88357,0.934796,5.14771,8.45002,-89.6362,-1.35541
-1,-89.5661,-1.37008,21.3523,6.05547,79.7892,22.2642,-89.5379,-1.36029
-2,-89.4476,-1.39569,36.6025,13.2773,108.1,37.8154,-89.4072,-1.3702
-3,-89.3176,-1.43981,52.6078,19.7252,111.53,54.4257,-89.2557,-1.39991
-4,-89.1764,-1.46851,69.3932,23.3952,126.971,72.3201,-89.13,-1.41681
-5,-89.0254,-1.47303,85.7296,28.0149,132.118,89.6298,-88.9962,-1.42137
-6,-88.8798,-1.4522,102.845,31.1031,142.992,107.362,-88.8413,-1.46017
-7,-88.7299,-1.41647,119.307,31.5524,165.402,124.353,-88.6546,-1.44142
-8,-88.5852,-1.38464,134.829,30.5567,194.708,140.51,-88.4752,-1.43499
-9,-88.4455,-1.38297,150.228,30.1917,186.165,156.458,-88.3131,-1.42562
-10,-88.3085,-1.40412,164.101,30.6604,203.486,170.76,-88.161,-1.45593
-11,-88.1875,-1.43516,325.563,30.915,240.233,333.421,-88.0354,-1.47711
