"","Start","End","dist"
"165","CMAR","EGAS",49.4008942057747
"166","CORA","EGAS",121.37594723086
"167","CUEV","EGAS",124.373286120216
"168","DAPH","EGAS",63.4500387380346
"169","EGAS","EGAS",0
"170","ELI","EGAS",194.694820974996
"171","GARD","EGAS",188.464219562957
"172","PCAL","EGAS",74.0344320514
"173","PESP","EGAS",142.474612226556
"174","PIN","EGAS",97.2216813217584
"175","PLAZ","EGAS",91.617196253198
"176","PMAN","EGAS",165.411132624324
"177","PMOR","EGAS",191.485431616941
"178","PROJ","EGAS",25.6126401342878
"179","PVIC","EGAS",115.661015429697
"180","RED","EGAS",106.220331542042
"181","SOMB","EGAS",41.3291974879385
"182","STAFE","EGAS",120.04964323934
"183","SUAR","EGAS",180.883327644303
"184","TOR","EGAS",88.6770801887423
"185","BAR","ELI",109.752518339118
"186","CDOU","ELI",79.1045831869462
"187","CHAM","ELI",62.8514581292837
"188","CMAR","ELI",146.731692839595
"189","CORA","ELI",279.536740949627
"190","CUEV","ELI",201.126507785367
"191","DAPH","ELI",223.633539848495
"192","EGAS","ELI",194.694820974996
"193","ELI","ELI",0
"194","GARD","ELI",285.661826147299
"195","PCAL","ELI",220.44564282705
"196","PESP","ELI",53.2004198414004
"197","PIN","ELI",202.056863884437
"198","PLAZ","ELI",241.186533804789
"199","PMAN","ELI",37.3177650967749
"200","PMOR","ELI",33.0557595467511
"201","PROJ","ELI",206.834680643423
"202","PVIC","ELI",80.543278304456
"203","RED","ELI",119.004341394719
"204","SOMB","ELI",216.761891812876
"205","STAFE","ELI",238.682292429028
"206","SUAR","ELI",277.100790109089
"207","TOR","ELI",140.876815802188
"208","BAR","GARD",177.479235805148
"209","CDOU","GARD",295.428423313973
"210","CHAM","GARD",274.909766669386
"211","CMAR","GARD",234.70813778648
"212","CORA","GARD",194.130882330377
"213","CUEV","GARD",84.7780345841453
"214","DAPH","GARD",136.301500135713
"215","EGAS","GARD",188.464219562957
"216","ELI","GARD",285.6618261473
"217","GARD","GARD",0
"218","PCAL","GARD",207.232618704144
"219","PESP","GARD",300.054022808993
"220","PIN","GARD",255.068970883219
"221","PLAZ","GARD",107.479647178241
"222","PMAN","GARD",276.326252239624
"223","PMOR","GARD",252.818227017981
"224","PROJ","GARD",164.880495018119
"225","PVIC","GARD",302.429235544365
"226","RED","GARD",292.98855165671
"227","SOMB","GARD",159.39237463576
"228","STAFE","GARD",78.6334305940375
"229","SUAR","GARD",8.77725551066653
"230","TOR","GARD",147.164597497479
"231","BAR","PCAL",180.214911640277
"232","CDOU","PCAL",166.763104666684
"233","CHAM","PCAL",187.092802273328
"234","CMAR","PCAL",87.7572640058102
"235","CORA","PCAL",59.5229998528009
"236","CUEV","PCAL",176.063247953382
"237","DAPH","PCAL",82.197974821058
"238","EGAS","PCAL",74.0344320514001
"239","ELI","PCAL",220.44564282705
"240","GARD","PCAL",207.232618704144
"241","PCAL","PCAL",0
"242","PESP","PCAL",168.225434078611
"243","PIN","PCAL",48.6519514833034
"244","PLAZ","PCAL",103.481221791239
"245","PMAN","PCAL",191.161954476378
"246","PMOR","PCAL",220.73812904798
"247","PROJ","PCAL",90.4677676313066
"248","PVIC","PCAL",141.411837281751
"249","RED","PCAL",125.665412691401
"250","SOMB","PCAL",72.5013622963893
"251","STAFE","PCAL",132.125096452448
"252","SUAR","PCAL",202.191973648381
"253","TOR","PCAL",153.611244846059
"254","BAR","PESP",124.144715000812
"255","CDOU","PESP",25.9859845126746
"256","CHAM","PESP",46.6704147548093
"257","CMAR","PESP",94.5114840911552
"258","CORA","PESP",227.316532201187
"259","CUEV","PESP",215.518704447061
"260","DAPH","PESP",200.384241250893
"261","EGAS","PESP",142.474612226557
"262","ELI","PESP",53.2004198414004
"263","GARD","PESP",300.054022808993
"264","PCAL","PESP",168.22543407861
"265","PESP","PESP",0
"266","PIN","PESP",149.836655135997
"267","PLAZ","PESP",229.206147328058
"268","PMAN","PESP",23.7278079536685
"269","PMOR","PESP",53.3039825252706
"270","PROJ","PESP",166.603770959327
"271","PVIC","PESP",28.4888246110237
"272","RED","PESP",66.7841326462795
"273","SOMB","PESP",182.320328312977
"274","STAFE","PESP",253.074489090722
"275","SUAR","PESP",291.492986770783
"276","TOR","PESP",155.269012463882
"277","BAR","PIN",212.502374501743
"278","CDOU","PIN",148.37432572407
"279","CHAM","PIN",168.704023330714
"280","CMAR","PIN",83.1036499733528
"281","CORA","PIN",101.265339277553
"282","CUEV","PIN",216.475382897194
"283","DAPH","PIN",124.813075762917
"284","EGAS","PIN",97.2216813217584
"285","ELI","PIN",202.056863884436
"286","GARD","PIN",255.068970883219
"287","PCAL","PIN",48.6519514833035
"288","PESP","PIN",149.836655135997
"289","PIN","PIN",0
"290","PLAZ","PIN",148.688675446001
"291","PMAN","PIN",172.773175533764
"292","PMOR","PIN",202.349350105367
"293","PROJ","PIN",122.61402073956
"294","PVIC","PIN",123.023058339138
"295","RED","PIN",101.875919795679
"296","SOMB","PIN",112.913481902336
"297","STAFE","PIN",178.552649440913
"298","SUAR","PIN",249.033633158925
"299","TOR","PIN",185.898764020993
"300","BAR","PLAZ",132.138322674371
"301","CDOU","PLAZ",227.743817916132
"302","CHAM","PLAZ",230.434474326876
"303","CMAR","PLAZ",138.259803403929
"304","CORA","PLAZ",102.389169978766
"305","CUEV","PLAZ",81.0646294282724
"306","DAPH","PLAZ",28.8218519720433
"307","EGAS","PLAZ",91.617196253198
"308","ELI","PLAZ",241.186533804789
"309","GARD","PLAZ",107.479647178241
"310","PCAL","PLAZ",103.481221791239
"311","PESP","PLAZ",229.206147328058
"312","PIN","PLAZ",148.688675446001
"313","PLAZ","PLAZ",0
"314","PMAN","PLAZ",231.850959897114
"315","PMOR","PLAZ",208.342934675471
"316","PROJ","PLAZ",66.9569974812075
"317","PVIC","PLAZ",202.392550531199
"318","RED","PLAZ",193.115405650053
"319","SOMB","PLAZ",51.9127264720899
"320","STAFE","PLAZ",29.0581775660846
"321","SUAR","PLAZ",101.279190482645
"322","TOR","PLAZ",100.309520248797
"323","BAR","PMAN",100.416944431442
"324","CDOU","PMAN",49.6319712992142
"325","CHAM","PMAN",28.8891708279066
"326","CMAR","PMAN",117.448004488923
"327","CORA","PMAN",250.253052598954
"328","CUEV","PMAN",191.790933877691
"329","DAPH","PMAN",214.297965940819
"330","EGAS","PMAN",165.411132624324
"331","ELI","PMAN",37.3177650967749
"332","GARD","PMAN",276.326252239623
"333","PCAL","PMAN",191.161954476378
"334","PESP","PMAN",23.7278079536685
"335","PIN","PMAN",172.773175533765
"336","PLAZ","PMAN",231.850959897113
"337","PMAN","PMAN",0
"338","PMOR","PMAN",30.2370367332639
"339","PROJ","PMAN",189.540291357094
"340","PVIC","PMAN",51.5911067205524
"341","RED","PMAN",89.7206530440472
"342","SOMB","PMAN",207.4263179052
"343","STAFE","PMAN",229.346718521352
"344","SUAR","PMAN",267.765216201413
"345","TOR","PMAN",131.541241894512
"346","BAR","PMOR",76.9089192097994
"347","CDOU","PMOR",62.3844566500172
"348","CHAM","PMOR",41.7829072657748
"349","CMAR","PMOR",147.024179060525
"350","CORA","PMOR",279.829227170556
"351","CUEV","PMOR",168.282908656048
"352","DAPH","PMOR",190.789940719177
"353","EGAS","PMOR",191.485431616941
"354","ELI","PMOR",33.0557595467511
"355","GARD","PMOR",252.818227017981
"356","PCAL","PMOR",220.73812904798
"357","PESP","PMOR",53.3039825252706
"358","PIN","PMOR",202.349350105367
"359","PLAZ","PMOR",208.342934675471
"360","PMAN","PMOR",30.2370367332639
"361","PMOR","PMOR",0
"362","PROJ","PMOR",173.991081514104
"363","PVIC","PMOR",81.1672812921545
"364","RED","PMOR",119.296827615649
"365","SOMB","PMOR",183.918292683557
"366","STAFE","PMOR",205.83869329971
"367","SUAR","PMOR",244.25719097977
"368","TOR","PMOR",108.033216672869
"369","BAR","PROJ",97.7863405666554
"370","CDOU","PROJ",165.1414415474
"371","CHAM","PROJ",185.471139154044
"372","CMAR","PROJ",73.3178581967251
"373","CORA","PROJ",117.222901270496
"374","CUEV","PROJ",103.329305209314
"375","DAPH","PROJ",38.7899346653882
"376","EGAS","PROJ",25.6126401342878
"377","ELI","PROJ",206.834680643423
"378","GARD","PROJ",164.880495018119
"379","PCAL","PROJ",90.4677676313066
"380","PESP","PROJ",166.603770959327
"381","PIN","PROJ",122.61402073956
"382","PLAZ","PROJ",66.9569974812074
"383","PMAN","PROJ",189.540291357094
"384","PMOR","PROJ",173.991081514104
"385","PROJ","PROJ",0
"386","PVIC","PROJ",139.790174162467
"387","RED","PROJ",130.349490274813
"388","SOMB","PROJ",17.9664053349173
"389","STAFE","PROJ",96.015175047292
"390","SUAR","PROJ",157.299603099465
"391","TOR","PROJ",71.1827300859053
"392","BAR","PVIC",151.04400180598
"393","CDOU","PVIC",31.6309736249719
"394","CHAM","PVIC",52.2093165423234
"395","CMAR","PVIC",67.697887294296
"396","CORA","PVIC",200.502935404327
"397","CUEV","PVIC",237.734728747124
"398","DAPH","PVIC",173.570644454034
"399","EGAS","PVIC",115.661015429697
"400","ELI","PVIC",80.543278304456
"401","GARD","PVIC",302.429235544365
"402","PCAL","PVIC",141.411837281751
"403","PESP","PVIC",28.4888246110237
"404","PIN","PVIC",123.023058339138
"405","PLAZ","PVIC",202.392550531199
"406","PMAN","PVIC",51.5911067205524
"407","PMOR","PVIC",81.1672812921545
"408","PROJ","PVIC",139.790174162467
"409","PVIC","PVIC",0
"410","RED","PVIC",39.8876522302147
"411","SOMB","PVIC",155.506731516118
"412","STAFE","PVIC",231.450728097284
"413","SUAR","PVIC",294.848343625711
"414","TOR","PVIC",182.16829926905
"415","BAR","RED",182.944075964339
"416","CDOU","RED",63.7796871473869
"417","CHAM","RED",84.1093907006822
"418","CMAR","RED",58.2572034066411
"419","CORA","RED",184.972322664175
"420","CUEV","RED",228.294044859469
"421","DAPH","RED",164.293499572887
"422","EGAS","RED",106.220331542042
"423","ELI","RED",119.004341394719
"424","GARD","RED",292.98855165671
"425","PCAL","RED",125.665412691401
"426","PESP","RED",66.7841326462795
