"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C6","CDOU-2","CDOU-3","CDOU-C","CDOU1-REDO-U","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3"
"ASV_11",1344,690,0,0,0,0,0,0,0,225,1790,0,151,0,0,0,0,4062,4744,3374,0,6674,1156,2760,0,10821,822,4543,0,35809,1444,1418,0,0,10488,222,0,0,0,0,0,2239,5158,3993,0,5864,14296,958,0,0,0,0,0,290,0,775,196,359,0,1106,1835,2921,0,0,0,213,0,0,0,0,0,1586,2377,3193,0,269,0,256,0,2145,80,1718,0,1880,3134,0,0,5199,1297,10297,2726,1067,1485,0,0,0,1638
"ASV_12",0,0,0,0,0,0,0,0,0,368,5576,0,249,568,548,209,0,0,0,0,0,370,512,2299,0,0,0,0,0,8,18,71,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,64,105,195,0,0,0,0,0,0,0,254,0,0,240,0,0,57190,48160,38632,0,0,0,0,0,0,0,0,0,200,121,235,0,0,241,0,1394,0,241
"ASV_13",14839,18158,9224,0,0,0,0,0,0,584,493,0,82,400,311,129,0,2111,2841,55,33,0,822,1316,0,9389,4579,203,0,32,0,0,0,65,0,0,0,1329,3774,661,0,5242,6426,3220,0,913,475,685,0,0,0,4068,23811,1424,0,0,0,296,0,188,295,319,0,8979,339,2701,0,8680,3308,1767,0,1263,728,216,0,0,0,0,0,316,50,490,0,0,815,224,0,345,445,326,426,781,3336,0,0,1638,0
"ASV_14",0,110,0,0,0,0,0,0,0,0,2353,0,246,0,1414,356,0,4340,4752,5258,0,85,433,152,0,0,0,1123,0,5737,9074,5563,0,3975,1506,4817,0,0,0,0,0,494,810,1015,0,342,709,448,0,0,0,329,2211,114,0,260,554,233,0,1431,1315,5261,0,0,0,0,0,1327,3140,311,0,5442,4911,2876,0,0,0,0,0,0,0,0,0,3883,13695,1909,0,1707,93,1455,0,1412,2243,0,5013,9282,0
"ASV_15",309,436,0,0,0,0,0,0,0,112,0,0,53,246,567,317,0,0,0,49,0,0,0,0,0,485,0,674,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,160,0,172,0,0,0,0,0,261,0,0,0,0,0,29,0,1184,0,1980,67776,28379,0,0,0,1760,0,0,0,0,0,5274,1961,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0
"ASV_16",5064,1828,1418,0,0,0,0,0,0,5987,3269,0,9754,4350,877,1252,0,987,205,383,0,125,428,958,0,1065,1511,0,0,64,193,451,0,1291,556,273,0,1068,8088,703,0,330,437,639,0,0,0,605,0,0,0,886,3551,3552,0,0,69,71,0,264,4018,1496,0,2018,169,1558,0,16926,1105,1872,0,0,0,138,0,287,0,424,0,0,0,0,0,0,0,130,0,0,0,0,3269,1341,2464,0,0,3123,0
"ASV_17",614,0,60,0,0,0,0,0,0,842,821,0,0,2607,415,700,0,80,0,0,0,60,0,230,0,0,0,0,0,0,310,0,0,0,0,0,0,1443,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,179,65486,0,0,0,0,0,0,698,22,210,0,1098,542,1585,0,176,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,4909,2071,11189
"ASV_18",3413,4161,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,814,0,0,0,0,0,0,0,507,484,471,0,679,1390,1443,0,0,2883,1344,0,0,0,0,0,0,0,33,395,890,0,0,0,0,0,1100,313,178,0,707,7,0,0,0,0,0,0,419,184,0,0,19191,13539,24164,0,0,0,0,0,1517,729,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,70,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,3059,2110,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72377,2833,675,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0
"ASV_20",255,0,48,0,0,0,0,0,0,111,0,0,0,0,0,162,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,2956,2638,1083,0,0,702,0,0,0,397,0,0,0,0,219,0,3886,0,0,0,0,0,117,206,642,0,5969,1294,7717,0,265,1179,3472,0,0,0,0,0,3901,324,43941,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",1528,1043,1543,0,0,0,0,0,0,4977,1939,0,716,1765,1436,1947,0,800,422,156,0,266,420,922,0,6759,269,131,0,0,0,345,0,262,364,0,0,228,565,129,0,1250,261,2489,0,556,1187,538,0,0,0,257,841,3335,0,142,811,437,0,522,319,4325,0,7152,151,1817,0,0,0,225,0,1734,3012,496,0,652,0,1766,0,1233,480,912,0,296,689,0,0,1161,401,1328,268,1112,4357,0,0,1580,390
"ASV_22",0,0,0,0,0,0,0,0,0,0,259,0,24,204,636,122,0,417,30,103,0,1050,485,1955,0,465,1347,8455,0,66,232,1665,0,0,0,0,0,0,0,0,0,2657,199,3103,0,1012,1744,1724,0,0,0,0,0,509,0,444,74,583,0,7441,1475,3062,0,0,0,0,0,0,0,496,0,1507,408,85,0,1748,246,123,0,4682,400,1586,0,993,4109,2927,0,1877,509,957,1214,1677,3894,0,0,0,1335
"ASV_23",0,0,0,0,0,0,0,0,0,74,1047,0,155,2174,658,1171,0,304,343,3788,0,1063,1636,2007,0,2270,1144,5245,0,0,0,0,0,382,0,0,0,0,0,0,0,0,657,388,0,1159,4393,1238,0,0,0,0,0,0,0,688,238,320,0,2193,2772,3109,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,103,17,85,0,0,889,521,0,803,726,1913,968,243,5688,0,13976,586,0
"ASV_24",0,1534,1327,0,0,0,0,0,0,211,180,0,0,0,0,0,0,3349,10829,5457,0,0,1642,1023,0,430,0,576,0,0,0,0,0,3379,685,299,0,185,1042,26,0,1708,4241,7043,0,93,423,239,0,0,0,0,0,158,0,0,0,0,0,1176,3440,878,0,2899,204,3089,0,0,0,4091,0,845,251,60,0,0,191,474,0,0,0,0,0,0,0,226,0,335,304,0,0,528,1427,0,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,62176,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,300,771,0,34,485,1399,0,0,0,0,0,454,449,1479,0,3137,0,0,0,0,0,0,0,2453,2209,2916,0,4156,10163,20047,0,0,0,0,0,0,0,178,181,184,0,262,0,435,0,0,0,0,0,0,0,0,0,720,706,0,0,1109,0,237,0,1190,124,1428,0,1173,2971,365,0,186,164,0,0,255,216,0,0,0,0
"ASV_27",4094,1006,981,0,0,0,0,0,0,94,0,0,0,2450,0,239,0,0,287,148,0,1173,214,0,0,0,0,586,0,0,59,373,0,0,0,0,0,20,233,0,0,219,0,0,0,200,420,0,0,0,0,0,0,0,0,275,705,829,0,717,1989,4251,0,468,0,670,0,0,0,303,0,196,193,0,0,295,1465,557,0,12439,1125,6544,0,647,2374,2833,0,179,133,264,0,0,386,0,2121,1372,3301
"ASV_28",0,59,86,0,0,0,0,0,0,1396,1186,0,409,1378,626,788,0,558,1204,129,0,754,977,663,0,618,264,873,0,13,14,242,0,0,84,0,0,0,27,0,0,621,267,1175,0,42,361,106,0,0,0,76,409,529,0,2070,1091,571,0,2844,1029,327,0,523,26,90,0,752,2050,60,0,115,761,219,0,555,0,238,0,2571,151,1297,0,1065,4412,2129,0,696,434,624,10478,1021,2382,0,731,972,0
"ASV_29",233,161,208,0,0,0,0,0,0,937,1217,0,153,158,0,0,0,121,1684,291,0,1160,1914,14647,0,5104,1429,1886,0,113,388,928,0,0,0,0,0,0,0,0,0,163,509,553,0,845,2482,1414,0,0,0,0,0,566,0,423,868,815,0,559,0,399,0,414,20,394,0,0,0,0,0,0,0,0,0,0,0,0,0,2877,275,1322,0,1239,1310,791,0,0,0,325,0,0,1744,0,1444,0,239
"ASV_30",0,0,0,0,54422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,414,504,0,294,86,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,717,1009,0,0,0,0,0,0,0,2228,252,980,0,7177,19064,10511,0,0,0,0,0,0,0,0,0,0,267,0,0,1552,687,0,0,0,0,0,0,367,0,245,0,0,0,256,378,0,0,0,5078,735,479
