"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C5","C6","CDOU-1","CDOU-2","CDOU-3","CDOU-C","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","STAFE-C","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3","TOR-C"
"ASV_11",992,269,323,0,0,0,0,0,0,0,5440,2074,1398,0,693,1246,1643,0,3206,3654,921,0,3979,3939,3068,0,1887,580,2761,0,10315,2285,2405,0,6351,1013,392,0,1324,6155,181,0,4997,2575,552,0,3720,694,46,0,0,0,1152,2514,2976,0,1244,1460,1133,0,4195,2163,3644,0,287,5306,855,0,1430,413,941,0,1304,514,2435,0,690,380,228,0,1470,4681,215,0,209,1390,1550,0,2590,2179,6089,0,2355,17065,6553,0,55,2011,547,0
"ASV_12",2683,473,1591,0,0,0,0,0,0,0,25,273,511,0,0,76,0,0,1827,4205,32249,0,111,258,0,0,6938,2157,1870,0,2643,1809,5257,7,1219,987,5004,0,1932,1366,1264,0,0,0,0,0,13667,3945,67,0,0,0,300,1393,5103,0,1554,3577,1769,0,0,383,188,0,1289,8360,604,0,0,585,103,0,4076,1122,2083,0,0,1399,789,0,2483,3602,0,0,7603,1778,2190,0,4971,2001,7697,0,0,0,435,0,0,422,0,0
"ASV_13",20,36,36,0,0,0,0,0,0,0,3632,5450,9957,0,1105,1131,1997,0,0,0,0,0,0,0,0,0,1743,1783,1032,0,692,871,5467,0,0,0,0,0,37220,7359,13142,0,0,0,1482,0,0,0,0,0,0,0,14,0,11278,0,0,0,0,0,11,12,359,0,34,527,0,0,4651,2092,4303,0,61,143,0,0,220,0,21,0,0,0,0,0,0,55,0,0,6745,12189,6882,0,0,0,0,0,2662,640,326,0
"ASV_14",0,0,84,0,0,0,0,0,0,0,0,30,85,0,496,237,226,0,0,0,1009,0,1598,58154,7643,0,0,0,1223,0,0,0,0,0,479,239,0,0,0,403,127,0,0,0,1888,0,5371,1013,0,0,0,0,0,0,897,0,21209,6458,2555,0,0,84,0,0,1907,0,190,0,0,0,2033,0,0,374,0,0,0,1186,56,0,0,4052,11,0,8070,561,884,0,1360,342,3381,0,0,0,0,0,0,0,0,0
"ASV_15",0,0,0,0,0,0,0,0,0,0,72,100,148,0,17,28,203,0,0,3,10,0,150,131,918,0,0,0,0,0,0,0,0,0,115,0,444,0,0,0,0,0,0,0,35,0,140,77,12,0,0,0,2,18,0,0,0,43,91,0,26,32,247,0,0,0,38,0,354,21,0,0,850,448,74,0,9,6,25,0,15489,73293,4164,0,0,484,3,0,0,5,0,0,0,0,0,0,0,0,18,0
"ASV_16",10,20,0,0,0,0,0,0,0,0,1122,1092,2502,0,961,1224,912,0,580,25,240,0,0,0,0,0,7,3,1077,0,13144,10572,2709,0,7823,1013,5474,0,6,60,23,0,0,83,0,0,0,9,0,0,0,0,10,37,1646,0,2583,0,277,0,15,101,2224,0,59,1022,20,0,687,334,201,0,5079,2769,13852,0,40,742,356,0,15,6,0,0,2846,166,1005,0,881,138,1173,0,0,0,290,0,170,138,468,0
"ASV_17",0,62,0,0,0,0,0,0,0,0,0,99,260,0,0,246,71,0,1338,1060,2213,0,0,260,0,0,96,0,36,0,31088,10305,2077,0,1625,570,2694,0,0,150,0,0,0,0,0,0,560,0,0,0,0,0,696,267,0,0,367,396,108,0,630,480,1468,0,14,0,0,0,703,223,0,0,2876,1987,1588,0,0,0,0,0,0,0,0,0,2908,4989,3509,0,276,683,2004,0,649,883,881,0,607,2121,0,0
"ASV_18",97,0,0,0,0,0,0,0,0,0,69,91,261,0,703,54,5161,0,69,0,0,0,0,10,0,0,472,314,763,309,974,122,125,0,214,107,143,0,14,136,68,0,0,0,0,494,55,0,0,0,0,0,0,62,144,0,886,52,0,0,31509,431,490,698,1195,896,9933,24,62,4369,254,93,0,7,0,0,3288,70,19,0,16,0,23,0,710,29,107,0,1945,491,2346,0,2264,7,557,223,5907,0,870,0
"ASV_19",156,0,0,0,0,0,0,0,0,0,216,0,665,0,456,249,919,0,305,187,122,0,188,225,618,0,1181,1317,312,0,2421,1370,1297,0,270,601,247,0,645,531,715,0,0,0,2691,0,780,1905,384,0,0,0,0,310,174,0,1153,156,372,0,136,236,152,0,128,441,673,0,775,376,454,0,2049,1373,94,0,498,508,0,0,149,0,126,0,4159,2495,2842,0,978,1252,138,0,6822,3650,315,0,0,0,0,0
"ASV_20",59,0,267,0,0,0,0,0,0,0,622,510,283,0,103,0,0,0,132,1386,332,0,3593,1632,11257,0,597,813,96,0,2414,504,1123,0,174,0,0,0,0,0,0,0,433,566,461,0,2000,72,195,0,0,0,0,0,855,0,673,977,1123,0,332,85,146,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,3241,9513,764,0,1612,0,2294,0,0,0,335,0,0,0,1575,0,20,145,0,0
"ASV_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,291,79,0,624,150,188,0,0,368,0,0,32418,91,36,0,0,0,91,0,0,0,0,0,0,10600,0,0,323,250,0,0,0,0,0,0,0,0,198,88,67,0,141,232,0,0,0,0,0,0,0,0,0,0,84,0,188,0,0,0,0,0,64,524,0,0,0,0,0,0,1171,0,852,0,0,0,0,0,0,0,0,0
"ASV_22",0,0,0,0,0,0,0,0,0,0,122,50,272,0,51,325,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,34906,4689,891,0,0,0,0,0,0,0,0,0,0,501,0,0,359,61,79,0,0,0,0,0,168,1037,134,0,62,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,17,66,0,150,5,0,0,1436,970,555,0,118,932,1133,0,263,283,337,0,23,0,0,0,0,0,0,0,533,573,754,0,834,563,100,0,0,0,0,0,96,0,470,54,321,0,2227,379,777,0,0,0,0,0,0,0,202,0,221,39,0,0,83,333,128,0,2266,12985,518,0,921,2450,3087,0,339,243,841,0,2436,688,967,0,0,0,133,0
"ASV_24",0,0,0,0,0,0,0,0,0,0,277,56,537,0,320,165,0,0,0,0,0,0,460,0,90,0,0,0,0,0,58,0,0,0,0,0,0,0,73,0,64,0,0,0,0,0,0,0,0,0,0,0,4,0,40,0,0,0,0,0,0,19,45,0,0,252,0,0,136,313,0,0,0,0,0,0,16871,18324,3160,0,0,0,0,0,0,0,21,0,55,55,166,0,0,6,7,0,183,46,0,0
"ASV_25",157,0,27,0,0,0,0,0,0,0,355,31,102,0,133,40,0,0,5,9,11,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,61,935,34,0,1452,1323,1670,0,0,0,0,0,0,0,419,0,327,0,0,0,0,0,0,0,0,0,118,11575,110,0,585,0,601,0,1831,5994,285,0,2090,748,620,0,329,2201,6,0,0,0,0,0,0,0,0,0,2308,924,99,0,170,0,0,0
"ASV_26",21,0,143,0,0,0,0,0,0,0,259,287,0,0,165,625,364,0,79,258,76,0,797,848,188,0,558,15,154,0,176,133,231,0,0,46,87,0,62,5,0,0,30,622,391,0,263,135,0,0,0,0,24,3,511,0,1639,343,1093,0,706,120,1102,0,248,1324,250,0,0,0,69,0,606,108,272,0,0,13,0,0,3153,9595,649,0,354,95,1616,0,1181,838,839,0,0,11,132,0,0,49,35,0
"ASV_27",36,0,92,0,0,0,0,0,0,0,615,1024,177,0,471,708,277,0,199,165,74,0,438,161,154,0,255,54,747,0,0,27,233,0,513,51,0,0,106,329,0,0,1625,715,399,0,497,54,52,0,0,0,36,83,659,0,242,244,101,0,359,109,677,0,863,1272,44,0,0,116,0,0,836,518,77,0,0,261,131,0,800,9110,249,0,0,128,11,0,450,0,1196,0,1318,103,1148,0,482,661,42,0
"ASV_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,31720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,0,0,59,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,589,275,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27675,776,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,46,49,0,0,171,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4055,1924,159,0,0,0,0,0,0,0,0,0,1857,3631,17071,0,0,0,0,0,0,0,0,0,389,0,0,0
"ASV_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29779,135,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,560,0,0,0,0,183,0,0,20368,531,111,0,0,0,0,0,0,0,0,0,0,0,0,0,240,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,105,0,0,0,0,0,136,6095,419,0,0,0,0,0,0,0,0,0
"ASV_33",98,318,210,0,0,0,0,0,0,0,8852,364,222,0,333,458,240,0,126,113,7,0,236,103,210,0,0,130,145,0,786,134,38,0,344,638,145,0,392,1790,364,0,757,31,0,0,125,48,25,0,0,0,251,271,1197,0,0,0,31,0,250,417,70,0,443,2466,127,0,1814,75,255,0,211,0,196,0,0,224,73,0,0,0,0,0,0,0,87,0,0,0,0,0,431,1186,91,0,0,913,154,0
"ASV_34",6534,3908,5569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,3083,0,0,0,63,0,0,0,0,0,0,0,0,0,267,371,0,0,0,0,0,0,0,0,0,1707,4150,326,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,29,0,1557,534,247,0,0,4,0,0,0,0,0,0,0,0,50,81,679,0,0,0,0,0,71,5,209,0,782,15182,657,0,0,0,176,0,0,0,0,0,613,0,4089,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_37",153,188,180,0,12,0,0,0,0,0,62,0,147,0,388,54,0,0,0,8,98,0,0,1205,0,0,0,0,56,0,404,243,365,0,1067,0,0,0,122,154,243,0,0,0,0,0,0,0,7,0,0,0,0,0,64,0,0,0,0,0,1245,956,0,0,0,237,835,0,151,1044,45,0,10034,7,0,0,0,0,0,0,57,0,161,0,0,0,1326,0,252,0,0,0,0,0,0,0,0,321,442,0
"ASV_38",0,131,0,0,0,0,0,0,0,0,0,40,0,0,0,0,44,0,0,0,67,0,0,0,11,0,0,672,0,0,70,5,0,0,0,33,0,0,0,245,13,0,0,156,120,0,26,0,15,0,0,0,0,0,248,0,214,0,0,0,262,5,0,0,0,0,17,0,219,0,0,0,0,0,0,0,26,0,0,0,1260,14897,746,0,113,263,0,0,0,0,52,0,0,166,0,0,310,467,765,0
"ASV_39",0,0,0,0,20593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20485,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
