"","Start","End","TempDiff"
"136","STAFE","CUEV",-0.229019165039062
"137","SUAR","CUEV",-0.914994716644287
"138","TOR","CUEV",-0.143607616424561
"139","BAR","DAPH",0.215908527374268
"140","CDOU","DAPH",-3.65757894515991
"141","CHAM","DAPH",-3.02516412734985
"142","CMAR","DAPH",0.308115005493164
"143","CORA","DAPH",0.709288120269775
"144","CUEV","DAPH",0.276730060577393
"145","DAPH","DAPH",0
"146","EGAS","DAPH",0.294632434844971
"147","ELI","DAPH",-2.7043890953064
"148","GARD","DAPH",0.54340632756551
"149","PCAL","DAPH",0.555676937103271
"150","PESP","DAPH",-3.25445127487183
"151","PIN","DAPH",-0.787589073181152
"152","PLAZ","DAPH",0.312462329864502
"153","PMAN","DAPH",-2.34995317459106
"154","PMOR","DAPH",-3.60369825363159
"155","PROJ","DAPH",0.50855827331543
"156","PVIC","DAPH",-2.67942762374878
"157","RED","DAPH",-1.80928039550781
"158","SOMB","DAPH",0.862531185150146
"159","STAFE","DAPH",0.0477108955383301
"160","SUAR","DAPH",-0.638264656066895
"161","TOR","DAPH",0.133122444152832
"162","BAR","EGAS",-0.0787239074707031
"163","CDOU","EGAS",-3.95221138000488
"164","CHAM","EGAS",-3.31979656219482
"165","CMAR","EGAS",0.0134825706481934
"166","CORA","EGAS",0.414655685424805
"167","CUEV","EGAS",-0.0179023742675781
"168","DAPH","EGAS",-0.294632434844971
"169","EGAS","EGAS",0
"170","ELI","EGAS",-2.99902153015137
"171","GARD","EGAS",0.248773892720539
"172","PCAL","EGAS",0.261044502258301
"173","PESP","EGAS",-3.5490837097168
"174","PIN","EGAS",-1.08222150802612
"175","PLAZ","EGAS",0.0178298950195312
"176","PMAN","EGAS",-2.64458560943604
"177","PMOR","EGAS",-3.89833068847656
"178","PROJ","EGAS",0.213925838470459
"179","PVIC","EGAS",-2.97406005859375
"180","RED","EGAS",-2.10391283035278
"181","SOMB","EGAS",0.567898750305176
"182","STAFE","EGAS",-0.246921539306641
"183","SUAR","EGAS",-0.932897090911865
"184","TOR","EGAS",-0.161509990692139
"185","BAR","ELI",2.92029762268066
"186","CDOU","ELI",-0.953189849853516
"187","CHAM","ELI",-0.320775032043457
"188","CMAR","ELI",3.01250410079956
"189","CORA","ELI",3.41367721557617
"190","CUEV","ELI",2.98111915588379
"191","DAPH","ELI",2.7043890953064
"192","EGAS","ELI",2.99902153015137
"193","ELI","ELI",0
"194","GARD","ELI",3.24779542287191
"195","PCAL","ELI",3.26006603240967
"196","PESP","ELI",-0.55006217956543
"197","PIN","ELI",1.91680002212524
"198","PLAZ","ELI",3.0168514251709
"199","PMAN","ELI",0.354435920715332
"200","PMOR","ELI",-0.899309158325195
"201","PROJ","ELI",3.21294736862183
"202","PVIC","ELI",0.0249614715576172
"203","RED","ELI",0.895108699798584
"204","SOMB","ELI",3.56692028045654
"205","STAFE","ELI",2.75209999084473
"206","SUAR","ELI",2.0661244392395
"207","TOR","ELI",2.83751153945923
"208","BAR","GARD",-0.327497800191242
"209","CDOU","GARD",-4.20098527272542
"210","CHAM","GARD",-3.56857045491536
"211","CMAR","GARD",-0.235291322072346
"212","CORA","GARD",0.165881792704266
"213","CUEV","GARD",-0.266676266988117
"214","DAPH","GARD",-0.54340632756551
"215","EGAS","GARD",-0.248773892720539
"216","ELI","GARD",-3.24779542287191
"217","GARD","GARD",0
"218","PCAL","GARD",0.0122706095377616
"219","PESP","GARD",-3.79785760243734
"220","PIN","GARD",-1.33099540074666
"221","PLAZ","GARD",-0.230943997701008
"222","PMAN","GARD",-2.89335950215657
"223","PMOR","GARD",-4.1471045811971
"224","PROJ","GARD",-0.0348480542500802
"225","PVIC","GARD",-3.22283395131429
"226","RED","GARD",-2.35268672307332
"227","SOMB","GARD",0.319124857584637
"228","STAFE","GARD",-0.49569543202718
"229","SUAR","GARD",-1.1816709836324
"230","TOR","GARD",-0.410283883412678
"231","BAR","PCAL",-0.339768409729004
"232","CDOU","PCAL",-4.21325588226318
"233","CHAM","PCAL",-3.58084106445312
"234","CMAR","PCAL",-0.247561931610107
"235","CORA","PCAL",0.153611183166504
"236","CUEV","PCAL",-0.278946876525879
"237","DAPH","PCAL",-0.555676937103271
"238","EGAS","PCAL",-0.261044502258301
"239","ELI","PCAL",-3.26006603240967
"240","GARD","PCAL",-0.0122706095377616
