"","journeyID","pathPoints2_oct_surf","pathPoints2_oct_20","pathPoints2_oct_50","pathPoints2_year_surf","pathPoints2_year_20","pathPoints2_year_50","pathPoints2old_oct_surf","pathPoints2old_oct_20","pathPoints2old_oct_50","pathPoints2old_year_surf","pathPoints2old_year_20","pathPoints2old_year_50"
"1","BAR_CDOU",-0.116611416622551,-0.044473803985084,0.0281436838719755,-0.0955680005794,-0.0162222836599388,0.0395833962933042,-0.132922345712892,-0.0420083188265833,0.047297661382276,-0.103211881318862,-0.0098790930963373,0.0550933017414126
"2","BAR_CHAM",-0.116086084646146,-0.0421376095445032,0.0274493536577757,-0.0959823499907552,-0.0149631677409285,0.0371494893796291,-0.141298088652294,-0.0453603857263148,0.0440851716682897,-0.111860376194587,-0.012372602402526,0.0524507022187499
"3","BAR_CMAR",-0.17659640942312,-0.133011247754881,-0.0647372610580808,-0.174161544410595,-0.111522966724163,-0.050068528434256,-0.138289710163181,-0.0972461769757137,-0.0474484496601525,-0.144274871752779,-0.0880666211481739,-0.0380251914593973
"4","BAR_CORA",-0.111255775108083,-0.121129695066737,-0.0756154554979287,-0.144350108411409,-0.140091490701537,-0.0787154810104644,-0.11201967514526,-0.122550985582196,-0.0758164518908779,-0.144529657492359,-0.140139377566507,-0.0774855582562073
"5","BAR_CUEV",0.0554956514062851,-0.0127933265031137,0.00179394242072561,0.0325200739714335,-0.0297542513928916,-0.0126285832394462,0.0596928571033967,-0.00776159508187447,0.00865418958582282,0.025133311697298,-0.0310223223439315,-0.0110108734904666
"6","BAR_DAPH",-0.0783839787203686,-0.0832742441979592,-0.0476882052356153,-0.118506566372958,-0.102525801855154,-0.0496230421899382,-0.0783395219482014,-0.0858079479769731,-0.0512367085191094,-0.114396129893163,-0.103545409224025,-0.0528925491676067
"7","BAR_EGAS",-0.141410186735922,-0.110455500192208,-0.0490068594951923,-0.152678330852329,-0.103691843133451,-0.041786653869963,-0.127834422628414,-0.0969696297569098,-0.0431718459119023,-0.138408188951117,-0.0919286116418504,-0.0371577453700534
"8","BAR_ELI",-0.0359916636224923,-0.024382629280941,-0.00711125022975793,-0.0362760006129223,-0.0150310126103389,-0.00290504908542686,-0.057501403924179,-0.0330085732238981,-0.00832298433681265,-0.0528658763227574,-0.0193551898075032,-0.0028223327766153
"9","BAR_GARD",0.072711612721081,-0.000397652045601059,0.000667738629277763,0.060221609878629,-0.00785435040327648,-0.00632830644045413,0.0560356728724933,-0.0117246103605516,0.00543273787982141,0.0354397068294589,-0.0233440498770938,-0.00862540460678917
"10","BAR_PCAL",-0.152884736079689,-0.138956036719348,-0.0666883950600983,-0.193854868126737,-0.162358537454432,-0.0780982339947938,-0.156077370071656,-0.141670817362993,-0.0682526180846708,-0.196295787317447,-0.164678492615376,-0.0791743416635939
