"","BAR.1","BAR.2","BAR.3","CDOU.1","CDOU.2","CDOU.3","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_19",156,0,0,216,0,665,456,249,919,305,187,122,188,225,618,1181,1317,312,2421,1370,1297,270,601,247,645,531,715,0,0,2691,780,1905,384,0,310,174,1153,156,372,136,236,152,128,441,673,775,376,454,2049,1373,94,498,508,0,149,0,126,4159,2495,2842,978,1252,138,6822,3650,315,0,0,0
"ASV_20",59,0,267,622,510,283,103,0,0,132,1386,332,3593,1632,11257,597,813,96,2414,504,1123,174,0,0,0,0,0,433,566,461,2000,72,195,0,0,855,673,977,1123,332,85,146,0,0,0,0,0,0,0,0,102,0,0,0,3241,9513,764,1612,0,2294,0,0,335,0,0,1575,20,145,0
"ASV_21",0,0,0,0,0,0,43,0,0,0,291,79,624,150,188,0,368,0,32418,91,36,0,0,91,0,0,0,0,10600,0,323,250,0,0,0,0,198,88,67,141,232,0,0,0,0,0,0,0,84,0,188,0,0,0,64,524,0,0,0,0,1171,0,852,0,0,0,0,0,0
"ASV_22",0,0,0,122,50,272,51,325,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,34906,4689,891,0,0,0,0,0,0,0,501,0,359,61,79,0,0,0,168,1037,134,62,0,52,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_23",0,0,0,28,0,0,0,17,66,150,5,0,1436,970,555,118,932,1133,263,283,337,23,0,0,0,0,0,533,573,754,834,563,100,0,0,96,470,54,321,2227,379,777,0,0,0,0,0,202,221,39,0,83,333,128,2266,12985,518,921,2450,3087,339,243,841,2436,688,967,0,0,133
"ASV_24",0,0,0,277,56,537,320,165,0,0,0,0,460,0,90,0,0,0,58,0,0,0,0,0,73,0,64,0,0,0,0,0,0,4,0,40,0,0,0,0,19,45,0,252,0,136,313,0,0,0,0,16871,18324,3160,0,0,0,0,0,21,55,55,166,0,6,7,183,46,0
"ASV_25",157,0,27,355,31,102,133,40,0,5,9,11,0,0,0,449,0,0,0,0,0,0,0,0,61,935,34,1452,1323,1670,0,0,0,419,0,327,0,0,0,0,0,0,118,11575,110,585,0,601,1831,5994,285,2090,748,620,329,2201,6,0,0,0,0,0,0,2308,924,99,170,0,0
"ASV_26",21,0,143,259,287,0,165,625,364,79,258,76,797,848,188,558,15,154,176,133,231,0,46,87,62,5,0,30,622,391,263,135,0,24,3,511,1639,343,1093,706,120,1102,248,1324,250,0,0,69,606,108,272,0,13,0,3153,9595,649,354,95,1616,1181,838,839,0,11,132,0,49,35
"ASV_27",36,0,92,615,1024,177,471,708,277,199,165,74,438,161,154,255,54,747,0,27,233,513,51,0,106,329,0,1625,715,399,497,54,52,36,83,659,242,244,101,359,109,677,863,1272,44,0,116,0,836,518,77,0,261,131,800,9110,249,0,128,11,450,0,1196,1318,103,1148,482,661,42
"ASV_28",0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,31720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
