"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_16",5064,1828,1418,5987,3269,9754,4350,877,1252,987,205,383,125,428,958,1065,1511,0,64,193,451,1291,556,273,1068,8088,703,330,437,639,0,0,605,886,3551,3552,0,69,71,264,4018,1496,2018,169,1558,16926,1105,1872,0,0,138,287,0,424,0,0,0,0,0,130,0,0,0,3269,1341,2464,0,3123,0
"ASV_17",614,0,60,842,821,0,2607,415,700,80,0,0,60,0,230,0,0,0,0,310,0,0,0,0,1443,582,0,0,0,0,0,0,0,0,0,122,179,65486,0,0,0,0,698,22,210,1098,542,1585,176,0,0,132,0,0,0,0,0,0,0,0,214,0,0,0,0,0,4909,2071,11189
"ASV_18",3413,4161,2778,0,0,0,0,0,0,0,0,0,0,0,233,814,0,0,0,0,0,507,484,471,679,1390,1443,0,2883,1344,0,0,0,33,395,890,0,0,0,1100,313,178,707,7,0,0,0,0,419,184,0,19191,13539,24164,0,0,0,1517,729,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,0,0,0,0,0,180,0,0,0,0,0,70,0,298,0,0,0,0,0,0,0,0,0,0,0,0,1019,3059,2110,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,72377,2833,675,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0
"ASV_20",255,0,48,111,0,0,0,0,162,0,623,0,0,0,0,0,0,0,0,0,0,0,256,0,2956,2638,1083,0,702,0,0,397,0,219,0,3886,0,0,0,117,206,642,5969,1294,7717,265,1179,3472,0,0,0,3901,324,43941,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",1528,1043,1543,4977,1939,716,1765,1436,1947,800,422,156,266,420,922,6759,269,131,0,0,345,262,364,0,228,565,129,1250,261,2489,556,1187,538,257,841,3335,142,811,437,522,319,4325,7152,151,1817,0,0,225,1734,3012,496,652,0,1766,1233,480,912,296,689,0,1161,401,1328,268,1112,4357,0,1580,390
"ASV_22",0,0,0,0,259,24,204,636,122,417,30,103,1050,485,1955,465,1347,8455,66,232,1665,0,0,0,0,0,0,2657,199,3103,1012,1744,1724,0,0,509,444,74,583,7441,1475,3062,0,0,0,0,0,496,1507,408,85,1748,246,123,4682,400,1586,993,4109,2927,1877,509,957,1214,1677,3894,0,0,1335
"ASV_23",0,0,0,74,1047,155,2174,658,1171,304,343,3788,1063,1636,2007,2270,1144,5245,0,0,0,382,0,0,0,0,0,0,657,388,1159,4393,1238,0,0,0,688,238,320,2193,2772,3109,0,0,0,0,0,1185,0,0,0,0,0,0,103,17,85,0,889,521,803,726,1913,968,243,5688,13976,586,0
"ASV_24",0,1534,1327,211,180,0,0,0,0,3349,10829,5457,0,1642,1023,430,0,576,0,0,0,3379,685,299,185,1042,26,1708,4241,7043,93,423,239,0,0,158,0,0,0,1176,3440,878,2899,204,3089,0,0,4091,845,251,60,0,191,474,0,0,0,0,0,226,335,304,0,0,528,1427,0,0,0
"ASV_25",0,0,0,0,196,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,0,62176,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,0,97,300,771,34,485,1399,0,0,0,454,449,1479,3137,0,0,0,0,0,2453,2209,2916,4156,10163,20047,0,0,0,178,181,184,262,0,435,0,0,0,0,0,0,720,706,0,1109,0,237,1190,124,1428,1173,2971,365,186,164,0,0,255,216,0,0,0
"ASV_27",4094,1006,981,94,0,0,2450,0,239,0,287,148,1173,214,0,0,0,586,0,59,373,0,0,0,20,233,0,219,0,0,200,420,0,0,0,0,275,705,829,717,1989,4251,468,0,670,0,0,303,196,193,0,295,1465,557,12439,1125,6544,647,2374,2833,179,133,264,0,0,386,2121,1372,3301
"ASV_28",0,59,86,1396,1186,409,1378,626,788,558,1204,129,754,977,663,618,264,873,13,14,242,0,84,0,0,27,0,621,267,1175,42,361,106,76,409,529,2070,1091,571,2844,1029,327,523,26,90,752,2050,60,115,761,219,555,0,238,2571,151,1297,1065,4412,2129,696,434,624,10478,1021,2382,731,972,0
"ASV_29",233,161,208,937,1217,153,158,0,0,121,1684,291,1160,1914,14647,5104,1429,1886,113,388,928,0,0,0,0,0,0,163,509,553,845,2482,1414,0,0,566,423,868,815,559,0,399,414,20,394,0,0,0,0,0,0,0,0,0,2877,275,1322,1239,1310,791,0,0,325,0,0,1744,1444,0,239
"ASV_31",0,0,0,0,0,0,0,0,0,50,414,504,294,86,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,717,1009,0,0,0,2228,252,980,7177,19064,10511,0,0,0,0,0,0,0,267,0,1552,687,0,0,0,0,367,0,245,0,0,256,378,0,0,5078,735,479
"ASV_32",0,0,0,262,4916,108,4902,393,1030,0,0,126,69,0,224,0,0,0,21,24,80,0,0,164,0,0,0,0,0,425,4031,11895,13473,529,0,241,147,1298,232,0,0,0,0,0,516,0,0,115,0,208,0,686,449,0,923,78,0,1036,2928,0,0,85,0,532,0,0,0,0,0
