"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_50",411,13,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,8502,14922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,1549,770,1166,0,0,0,0,92,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5993,22959,2550,0,0,0,184,546,222,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,205,58,0,0,0,0,411,0,268,0,0,0,0,0,0
"ASV_513",0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_515",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_52",0,0,159,0,0,0,0,0,0,479,131,167,501,165,261,1392,0,1160,4911,67,87,439,0,0,0,0,0,0,14646,0,675,2012,0,0,0,65,55,102,0,0,183,0,0,0,0,0,0,0,167,259,366,0,0,0,163,52,121,0,2014,0,1919,183,1817,0,0,130,0,0,0
"ASV_524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_53",0,0,0,1765,2316,347,2182,2225,1924,314,7127,201,0,0,0,0,0,300,12,105,0,0,0,800,204,626,0,0,504,0,227,0,0,232,799,812,0,27,36,132,106,0,0,46,68,3593,4332,739,477,253,206,553,141,62,110,15,0,0,1158,0,0,0,0,0,1938,506,0,491,0
